latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,risk_level,risk_score
19.1673,77.1522,301.2,1.0,1.0,2000-12-05,1721,Terra,MODIS,38,6.2,283.7,6.9,N,0,High,0.6681121602864207
16.2594,75.3769,310.7,1.0,1.0,2000-11-26,1727,Terra,MODIS,81,6.2,290.3,11.2,N,0,High,0.6669773871962361
31.914,77.27,302.7,1.4,1.2,2000-12-29,535,Terra,MODIS,48,6.2,279.7,13.6,D,0,High,0.6667330539137379
16.263,80.8887,328.8,1.0,1.0,2000-12-22,533,Terra,MODIS,82,6.2,299.1,23.5,D,0,High,0.6660828945164754
31.0067,78.2671,315.3,1.0,1.0,2000-11-09,549,Terra,MODIS,76,6.2,286.7,14.5,D,0,High,0.6660343840654478
26.6438,79.4834,304.2,1.4,1.2,2000-12-21,1724,Terra,MODIS,43,6.2,282.2,13.7,N,0,High,0.6653176255860792
27.1921,91.4335,324.5,1.0,1.0,2000-12-28,453,Terra,MODIS,83,6.2,290.8,23.4,D,0,High,0.6651090451029908
28.4061,84.4805,314.7,1.3,1.1,2000-12-29,536,Terra,MODIS,75,6.2,286.3,22.0,D,0,High,0.665010474220862
17.1993,74.2044,301.1,2.2,1.4,2000-11-05,1710,Terra,MODIS,34,6.2,285.1,18.3,N,0,High,0.6644548240380741
26.4186,95.0577,323.5,2.2,1.4,2000-12-26,506,Terra,MODIS,82,6.2,289.9,67.3,D,0,High,0.6634640353689706
19.97,74.3558,301.5,1.2,1.1,2000-11-19,1722,Terra,MODIS,42,6.2,284.4,8.5,N,0,High,0.661919712367669
16.5499,74.3678,309.3,1.1,1.0,2000-11-26,1727,Terra,MODIS,77,6.2,289.9,11.7,N,0,High,0.6618872438382102
29.2982,81.6972,325.5,1.6,1.2,2000-12-02,554,Terra,MODIS,70,6.2,292.4,47.4,D,0,High,0.661831525741342
21.4981,73.0378,309.7,1.1,1.1,2000-12-01,1747,Terra,MODIS,78,6.2,288.5,13.6,N,0,High,0.6612672965272437
25.2269,68.7076,335.6,1.0,1.0,2000-12-14,620,Terra,MODIS,86,6.2,301.8,29.3,D,0,High,0.6609597531327259
21.3541,77.0902,311.5,1.0,1.0,2000-12-14,1716,Terra,MODIS,83,6.2,288.9,12.0,N,0,High,0.6596202960431276
31.5899,77.8978,324.2,1.6,1.2,2000-12-22,529,Terra,MODIS,77,6.2,291.7,40.3,D,0,High,0.6586193969674696
26.6295,95.1026,327.4,1.1,1.1,2000-12-21,447,Terra,MODIS,85,6.2,292.3,28.8,D,0,High,0.6582013835500885
26.8003,95.2744,326.9,2.2,1.4,2000-12-26,505,Terra,MODIS,85,6.2,291.9,77.9,D,0,High,0.6567712556650246
19.34,76.2731,345.8,1.0,1.0,2000-12-20,545,Terra,MODIS,92,6.2,308.4,44.6,D,0,High,0.6566313096647721
18.4708,73.6181,308.0,1.1,1.1,2000-12-17,1746,Terra,MODIS,73,6.2,288.9,11.8,N,0,High,0.6565489593228986
17.1658,74.2897,310.0,1.2,1.1,2000-12-01,1746,Terra,MODIS,79,6.2,290.4,12.7,N,0,High,0.6557135686446953
28.0944,97.7239,316.4,1.5,1.2,2000-12-21,447,Terra,MODIS,77,6.2,285.5,31.4,D,0,High,0.6552915208245063
26.1534,69.0184,304.1,1.2,1.1,2000-11-13,1801,Terra,MODIS,59,6.2,284.8,10.1,N,0,High,0.6546883250216929
21.1797,79.0027,300.5,1.4,1.2,2000-12-25,1658,Terra,MODIS,28,6.2,283.0,10.8,N,0,High,0.6541810243872549
33.1582,72.0873,324.7,1.0,1.0,2000-12-30,618,Terra,MODIS,83,6.2,292.7,21.0,D,0,High,0.6541797014359936
20.0792,77.6895,301.3,1.0,1.0,2000-12-14,1716,Terra,MODIS,40,6.2,284.1,7.0,N,0,High,0.6540529285252744
33.0977,71.4134,303.6,1.0,1.0,2000-12-03,1738,Terra,MODIS,56,6.2,281.5,9.0,N,0,High,0.6540410009109747
15.2743,75.0855,309.1,1.0,1.0,2000-12-03,1733,Terra,MODIS,76,6.2,290.6,8.7,N,0,High,0.6539525586604069
31.0805,78.3934,313.0,1.0,1.0,2000-11-09,549,Terra,MODIS,71,6.2,286.1,12.5,D,0,High,0.6537850025636784
27.6365,91.9464,311.9,1.1,1.0,2000-12-19,459,Terra,MODIS,72,6.2,284.4,15.5,D,0,High,0.6537328158843116
30.5859,74.6056,303.2,1.0,1.0,2000-12-16,606,Terra,MODIS,55,6.2,281.7,4.9,D,0,High,0.6537036878606454
27.1957,91.4144,322.7,1.2,1.1,2000-12-26,506,Terra,MODIS,82,6.2,290.5,29.5,D,0,High,0.6529034812370118
33.9122,77.7415,301.6,1.0,1.0,2000-12-11,547,Terra,MODIS,45,6.2,279.1,6.4,D,0,High,0.6520732762365826
26.66,95.1604,316.2,1.7,1.3,2000-12-19,459,Terra,MODIS,55,6.2,286.6,27.9,D,0,High,0.6517359500935317
21.9085,72.7594,307.4,1.0,1.0,2000-12-03,1735,Terra,MODIS,71,6.2,287.7,10.3,N,2,High,0.6515945564313796
31.8107,77.5381,308.3,1.1,1.0,2000-12-25,600,Terra,MODIS,67,6.2,283.6,11.0,D,0,High,0.6509590105483348
25.5743,68.9697,337.8,1.0,1.0,2000-11-12,621,Terra,MODIS,85,6.2,303.4,29.6,D,0,High,0.6503080463712605
32.7717,72.6896,320.3,1.8,1.3,2000-12-27,548,Terra,MODIS,76,6.2,290.6,36.7,D,0,High,0.6493117529945397
27.514,93.8141,321.2,1.1,1.1,2000-12-28,453,Terra,MODIS,81,6.2,289.4,24.0,D,0,High,0.6484835195865142
12.8737,75.6596,307.4,1.1,1.0,2000-12-26,1738,Terra,MODIS,71,6.2,290.8,9.2,N,0,High,0.6484117766450844
28.4333,84.7354,314.5,1.3,1.1,2000-12-29,536,Terra,MODIS,74,6.2,287.1,23.7,D,0,High,0.6476537752483272
18.554,76.1646,302.0,1.2,1.1,2000-12-14,1715,Terra,MODIS,46,6.2,285.7,9.5,N,0,High,0.6472468018203137
31.544,77.6007,322.4,1.1,1.1,2000-12-20,542,Terra,MODIS,82,6.2,291.5,26.0,D,0,High,0.6465931770806379
26.6411,95.2638,302.2,1.0,1.0,2000-12-26,1603,Terra,MODIS,47,6.2,279.4,8.4,N,0,High,0.6460171342253045
19.5172,74.8742,300.7,1.1,1.1,2000-12-21,1722,Terra,MODIS,32,6.2,285.0,7.3,N,0,High,0.6448335246155914
26.6619,95.1553,316.4,1.7,1.3,2000-12-19,459,Terra,MODIS,77,6.2,287.1,30.2,D,0,High,0.6445285749641636
26.6399,79.4788,303.7,1.1,1.0,2000-12-25,1659,Terra,MODIS,56,6.2,283.1,10.6,N,0,High,0.6444671597521602
16.3457,73.6509,326.3,1.5,1.2,2000-12-29,540,Terra,MODIS,79,6.2,300.2,30.3,D,0,High,0.6444040986454358
